,tconst,averageRating,numVotes
82264,tt0111161,9.3,2695887
249189,tt0468569,9.0,2669915
630275,tt1375666,8.8,2368570
98703,tt0137523,8.8,2141276
430527,tt0944947,9.2,2119032
81171,tt0109830,8.8,2093927
82048,tt0110912,8.9,2069502
96567,tt0133093,8.7,1924457
420115,tt0903747,9.5,1913405
90039,tt0120737,8.8,1886597
45967,tt0068646,9.2,1870922
113878,tt0167260,9.0,1857170
393040,tt0816692,8.6,1852238
616559,tt1345836,8.4,1715219
113879,tt0167261,8.8,1677003
84814,tt0114369,8.6,1664484
781463,tt1853728,8.4,1566971
116360,tt0172495,8.5,1510184
209133,tt0372784,8.2,1480348
204009,tt0361748,8.3,1461682
75443,tt0102926,8.6,1441909
443136,tt0993846,8.2,1426046
90101,tt0120815,8.6,1400321
403929,tt0848228,8.0,1398299
52980,tt0076759,8.6,1372690
79682,tt0108052,9.0,1363421
255100,tt0482571,8.5,1342184
224861,tt0407887,8.5,1333658
514658,tt1130884,8.2,1328248
261462,tt0499549,7.9,1316701
90005,tt0120689,8.6,1310761
1174088,tt7286456,8.4,1304293
56383,tt0080684,8.7,1300243
48520,tt0071562,9.0,1279091
134764,tt0209144,8.4,1246109
63291,tt0088763,8.5,1214789
1025403,tt4574334,8.7,1207907
810411,tt2015381,8.0,1187949
89727,tt0120338,7.9,1186257
72730,tt0099685,8.7,1169779
81636,tt0110413,8.5,1169656
115076,tt0169547,8.4,1160733
1000650,tt4154796,8.4,1143642
190107,tt0325980,8.1,1135177
89929,tt0120586,8.5,1129033
235989,tt0434409,8.2,1128401
422022,tt0910970,8.4,1123763
160935,tt0266697,8.2,1123565
75556,tt0103064,8.6,1106289
89765,tt0120382,8.2,1092271
1000648,tt4154756,8.4,1091968
85171,tt0114814,8.5,1091417
208652,tt0371746,7.9,1066239
81587,tt0110357,8.5,1066010
61095,tt0086190,8.3,1060902
471051,tt1049413,8.3,1051560
160876,tt0266543,8.2,1050849
654898,tt1431045,8.0,1046884
83371,tt0112573,8.4,1043556
57084,tt0081505,8.4,1030407
77356,tt0105236,8.3,1026110
194557,tt0338013,8.3,1015223
50174,tt0073486,8.7,1013418
637824,tt1392190,8.1,1011350
80270,tt0108778,8.9,1006707
692386,tt1520211,8.1,1004661
85088,tt0114709,8.3,1000989
113965,tt0167404,8.2,998077
79068,tt0107290,8.2,996493
159976,tt0264464,8.1,994275
860344,tt2267998,8.1,991453
252651,tt0477348,8.2,982420
88772,tt0119217,8.3,981008
58358,tt0082971,8.4,972915
161943,tt0268978,8.2,938498
891352,tt2488496,7.8,936540
674257,tt1475582,9.1,934703
637818,tt1392170,7.2,925819
129892,tt0198781,8.1,916230
68699,tt0095016,8.2,891053
54714,tt0078748,8.5,889307
549599,tt1201607,8.1,883299
898812,tt2582802,8.5,874250
62854,tt0088247,8.1,872018
882303,tt2395427,7.3,870573
741488,tt1675434,8.5,865731
970365,tt3659388,8.0,863203
134280,tt0208092,8.2,862574
594263,tt1300854,7.1,856737
387231,tt0800369,7.0,855896
779369,tt1843866,7.8,852631
245513,tt0458339,6.9,851608
449602,tt1010048,8.0,850572
61152,tt0086250,8.3,849076
120168,tt0180093,8.3,848849
236506,tt0435761,8.3,842260
51744,tt0075314,8.2,841868
154664,tt0253474,8.5,839103
44424,tt0066921,8.3,836063
420084,tt0903624,7.8,834654
664872,tt1454468,7.7,832161
228236,tt0416449,7.6,826691
102665,tt0145487,7.4,824625
562336,tt1228705,6.9,824074
862122,tt2278388,8.1,819425
1149392,tt6751668,8.5,817357
418825,tt0898266,8.2,816264
88335,tt0118715,8.1,815099
738552,tt1663202,8.0,812869
90168,tt0120915,6.5,812198
151542,tt0246578,8.0,808230
90631,tt0121766,7.6,798588
29784,tt0050083,9.0,796537
959282,tt3498820,7.8,795308
508592,tt1119646,7.7,793392
149108,tt0241527,7.6,789884
773906,tt1825683,7.3,781855
551514,tt1205489,8.1,780946
378102,tt0770828,7.1,776933
822188,tt2084970,8.0,776914
58947,tt0083658,8.1,776451
431496,tt0947798,8.0,774861
222401,tt0401792,8.0,773436
150955,tt0245429,8.6,771019
946695,tt3315342,8.1,770942
1177516,tt7366338,9.4,767089
254061,tt0480249,7.2,766700
38645,tt0060196,8.8,766588
490068,tt10872600,8.2,766560
211455,tt0378194,8.0,763055
136111,tt0211915,8.3,761532
186221,tt0317248,8.6,761365
70907,tt0097576,8.2,760871
959538,tt3501632,7.9,759901
1166661,tt7131622,7.6,752109
554664,tt1211837,7.5,750205
67001,tt0093058,8.3,748139
417433,tt0892769,8.1,747074
213757,tt0382932,8.1,746380
186425,tt0317705,8.0,745511
378819,tt0773262,8.7,730403
214061,tt0383574,7.3,726016
637834,tt1392214,8.1,725927
64898,tt0090605,8.4,723110
825017,tt2096673,8.2,721195
90630,tt0121765,6.6,717803
786430,tt1877832,7.9,717548
468806,tt1045658,7.7,714594
587176,tt1285016,7.8,710533
812275,tt2024544,8.1,706265
924548,tt2975590,6.4,704314
895659,tt2543164,7.9,703727
484106,tt1074638,7.8,702518
88409,tt0118799,8.6,700322
1241410,tt8946378,7.9,698755
580659,tt1270798,7.7,697895
87723,tt0117951,8.1,692533
223771,tt0405159,8.1,691828
635236,tt1386697,5.9,691152
246332,tt0460649,8.3,690135
985782,tt3896198,7.6,689181
